rank,domain,reason
3,gtld-servers.net,ENOTFOUND
7,googleapis.com,http_404
13,akamai.net,ENOTFOUND
18,linkedin.com,http_200
19,office.com,http_200
21,googletagmanager.com,http_404
23,akamaiedge.net,ENOTFOUND
26,akadns.net,ENOTFOUND
14,ezviz7.com,ENOTFOUND
28,domaincontrol.com,ENOTFOUND
24,live.com,http_200
22,hicloudcam.com,http_200
34,apple-dns.net,ENOTFOUND
35,appsflyersdk.com,http_403
36,googleusercontent.com,http_404
38,aaplimg.com,ENOTFOUND
39,microsoftonline.com,ENOTFOUND
41,office.net,ENOTFOUND
42,trafficmanager.net,ENOTFOUND
27,azure.com,http_200
49,ripn.net,ENOTFOUND
51,cloudfront.net,ENOTFOUND
50,goo.gl,http_400
45,skype.com,http_200
61,windowsupdate.com,ENOTFOUND
55,cloud.microsoft,http_200
62,googledomains.com,http_200
67,gvt1.com,ENOTFOUND
53,outlook.com,http_200
65,googlesyndication.com,http_404
73,cdninstagram.com,ENOTFOUND
75,pv-cdn.net,ENOTFOUND
76,akam.net,ENOTFOUND
77,tiktokcdn.com,ENOTFOUND
68,windows.net,ERR_TLS_CERT_ALTNAME_INVALID
82,gvt2.com,ENOTFOUND
84,edgekey.net,ENOTFOUND
88,ytimg.com,ENOTFOUND
78,gwfb.net,ENOTFOUND
85,tiktokv.com,http_404
83,windows.com,http_200
89,yandex.net,http_404
95,root-servers.net,ENOTFOUND
96,edgesuite.net,ENOTFOUND
100,workbox.dk,ENOTFOUND
93,nic.ru,http_200
97,nginx.com,http_200
104,workers.dev,http_200
110,a2z.com,ENOTFOUND
108,t.me,http_404
107,okcdn.ru,http_404
113,b-cdn.net,http_200
117,github.io,http_200
106,office365.com,http_403
123,dnsowl.com,ENOTFOUND
127,cdn77.org,ENOTFOUND
122,registrar-servers.com,ECONNREFUSED
124,app-measurement.com,http_404
126,app-analytics-services.com,http_404
132,vedcdnlb.com,ENOTFOUND
133,prodregistryv2.org,http_404
134,amazon.dev,ENOTFOUND
135,dns.google,http_404
130,vkuserphoto.ru,http_418
129,amazon-adsystem.com,http_404
137,forms.gle,http_400
125,nih.gov,http_403
139,msftncsi.com,ENOTFOUND
131,trbcdn.net,ERR_TLS_CERT_ALTNAME_INVALID
142,iiko.it,ENOTFOUND
147,aws.dev,ENOTFOUND
146,godaddy.com,http_403
148,yccdn.ru,ENOTFOUND
150,static.microsoft,ENOTFOUND
151,steamserver.net,ENOTFOUND
152,azurefd.net,http_404
44,sharepoint.com,timeout
155,dns-parking.com,ENOTFOUND
156,googleadservices.com,http_404
163,3gppnetwork.org,ENOTFOUND
164,spo-msedge.net,ENOTFOUND
138,miit.gov.cn,http_404
168,ax-msedge.net,ENOTFOUND
167,msftconnecttest.com,ENOTFOUND
165,adtrafficquality.google,http_404
169,nflxso.net,ENOTFOUND
157,epicgames.com,http_403
172,ggpht.com,ENOTFOUND
173,tm-azurefd.net,ENOTFOUND
179,azurewebsites.net,ENOTFOUND
