rank,domain,GPTBot,OAI-SearchBot,ChatGPT-User,ClaudeBot,Claude-Web,anthropic-ai,PerplexityBot,Perplexity-User,Google-Extended,CCBot,Bytespider,Amazonbot,Applebot-Extended,meta-externalagent,cohere-ai,AI2Bot,Timpibot,Diffbot
1,www.nytimes.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,partial,blocked,blocked,blocked,unlisted,blocked,blocked
4,apnews.com,blocked,unlisted,unlisted,blocked,blocked,blocked,blocked,unlisted,unlisted,blocked,unlisted,blocked,blocked,unlisted,blocked,unlisted,blocked,unlisted
2,www.theguardian.com,unlisted,unlisted,unlisted,blocked,unlisted,blocked,blocked,unlisted,unlisted,blocked,blocked,blocked,blocked,blocked,unlisted,unlisted,unlisted,unlisted
6,www.theatlantic.com,allowed,allowed,allowed,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,blocked
8,www.ft.com,unlisted,unlisted,unlisted,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,blocked,blocked,unlisted,unlisted,blocked
5,www.wired.com,unlisted,unlisted,unlisted,blocked,unlisted,unlisted,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,blocked
3,www.reuters.com,unlisted,partial,partial,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted
9,www.forbes.com,blocked,allowed,unlisted,blocked,unlisted,blocked,blocked,unlisted,unlisted,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,unlisted,blocked
11,www.theverge.com,allowed,unlisted,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,allowed,blocked,blocked,blocked,blocked,blocked,blocked
12,techcrunch.com,blocked,unlisted,blocked,blocked,blocked,blocked,unlisted,unlisted,blocked,blocked,blocked,unlisted,blocked,unlisted,blocked,unlisted,unlisted,blocked
10,time.com,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted
7,www.economist.com,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,unlisted,unlisted,unlisted,unlisted,unlisted
14,www.tomshardware.com,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,blocked,blocked,unlisted,blocked,unlisted,blocked,unlisted,blocked
17,www.heise.de,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
15,www.spiegel.de,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,unlisted,unlisted,blocked,blocked,unlisted,blocked,blocked,blocked,unlisted,blocked,blocked
16,www.hardwareluxx.de,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots
18,www.lemonde.fr,unlisted,unlisted,unlisted,blocked,blocked,blocked,unlisted,unlisted,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,blocked,blocked,blocked
20,www.telegraph.co.uk,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,allowed,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked
21,www.independent.co.uk,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted
26,stackoverflow.com,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots
27,www.reddit.com,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted
19,elpais.com,unlisted,unlisted,unlisted,blocked,unlisted,unlisted,blocked,blocked,unlisted,blocked,blocked,blocked,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted
30,niemanlab.org,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots
28,medium.com,blocked,unlisted,unlisted,blocked,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,blocked,blocked,blocked,blocked,unlisted,unlisted,unlisted,unlisted
22,www.thespruce.com,partial,partial,partial,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,unlisted
24,www.investopedia.com,partial,partial,partial,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,unlisted
25,www.healthline.com,blocked,unlisted,unlisted,blocked,unlisted,blocked,unlisted,unlisted,unlisted,blocked,blocked,blocked,blocked,blocked,unlisted,unlisted,blocked,blocked
23,www.seriouseats.com,partial,partial,partial,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,blocked,unlisted,blocked,unlisted
29,www.digiday.com,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted,unlisted
13,arstechnica.com,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots,no_robots
